PERMNO,date,SICCD,TICKER,DCLRDT,PAYDT,HSICMG,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,SHROUT,SPREAD,RETX,ewretd
14593,30/04/2012,3571,AAPL,,,,,,,560.28003,636.22998,583.97998,5815315,935062,,-0.025969,-0.009106
14593,31/05/2012,3571,AAPL,,,,,,,530.12000,585.97998,577.72998,4145678,935062,,-0.010702,-0.068434
14593,29/06/2012,3571,AAPL,,,,,,,560.98999,587.40997,584.00000,2927706,937266,,0.010853,0.034188
14593,31/07/2012,3571,AAPL,,,,,,,574.88000,614.32001,610.76001,3336045,937406,,0.045822,-0.003281
14593,31/08/2012,3571,AAPL,24/07/2012,16/08/2012,,2.65000,0.00000,0.00000,606.81000,675.67999,665.23999,3104998,937406,,0.089200,0.024820
14593,28/09/2012,3571,AAPL,,,,,,,660.59003,702.09998,667.10498,3438905,939208,,0.002803,0.034925
14593,31/10/2012,3571,AAPL,,,,,,,595.32001,671.45001,595.32001,4539999,940692,,-0.107607,-0.013477
14593,30/11/2012,3571,AAPL,25/10/2012,15/11/2012,,2.65000,0.00000,0.00000,525.62000,596.53992,585.28003,4629601,940692,,-0.016865,0.002790
14593,31/12/2012,3571,AAPL,,,,,,,509.58920,586.19000,532.17291,4472556,938973,,-0.090738,0.021872
14593,31/01/2013,3571,AAPL,,,,,,,439.88000,549.03003,455.48999,4864029,939058,,-0.144094,0.063509
14593,28/02/2013,3571,AAPL,23/01/2013,14/02/2013,,2.65000,0.00000,0.00000,441.39999,479.92999,441.39999,3474204,939058,,-0.030934,0.003500
14593,28/03/2013,3571,AAPL,,,,,,,420.04999,463.57999,442.66000,3418252,940094,,0.002855,0.031419
14593,30/04/2013,3571,AAPL,,,,,,,390.53000,442.78000,442.78000,4103155,938649,,0.000271,0.002477
14593,31/05/2013,3571,AAPL,23/04/2013,16/05/2013,,3.05000,0.00000,0.00000,428.85001,463.84000,449.73499,3507527,938649,,0.015708,0.023985
14593,28/06/2013,3571,AAPL,,,,,,,393.78000,450.72000,396.53000,2611351,908442,,-0.118303,-0.013012
14593,31/07/2013,3571,AAPL,,,,,,,409.22000,453.32001,452.53000,2431461,908497,,0.141225,0.054898
14593,30/08/2013,3571,AAPL,23/07/2013,15/08/2013,,3.05000,0.00000,0.00000,454.45001,507.73999,487.21600,2997612,908497,,0.076649,-0.017278
14593,30/09/2013,3571,AAPL,,,,,,,450.12000,506.17001,476.75000,3214144,899213,,-0.021481,0.051828
14593,31/10/2013,3571,AAPL,,,,,,,480.94000,531.90997,522.70203,2948696,899738,,0.096386,0.025762
14593,29/11/2013,3571,AAPL,28/10/2013,14/11/2013,,3.05000,0.00000,0.00000,512.49200,556.07001,556.07001,1952387,899738,,0.063837,0.023398
14593,31/12/2013,3571,AAPL,,,,,,,544.46002,570.09003,561.02002,2547642,892447,,0.008902,0.025242
14593,31/01/2014,3571,AAPL,,,,,,,499.78201,557.35999,500.60001,3188098,891989,,-0.107697,-0.001282
14593,28/02/2014,3571,AAPL,27/01/2014,13/02/2014,,3.05000,0.00000,0.00000,501.53000,545.98999,526.23999,2111318,891989,,0.051219,0.044257
14593,31/03/2014,3571,AAPL,,,,,,,524.69000,544.98999,536.73999,1794860,861745,,0.019953,0.001028
14593,30/04/2014,3571,AAPL,,,,,,,517.95990,594.09003,590.09003,2299269,861381,,0.099396,-0.022319
14593,30/05/2014,3571,AAPL,23/04/2014,15/05/2014,,3.29000,0.00000,0.00000,585.54248,635.38000,633.00000,2051679,861381,,0.072718,0.006647
14593,30/06/2014,3571,AAPL,23/04/2014,06/06/2014,,0.00000,6.00000,6.00000,90.28000,647.34998,92.93000,8535462,5989171,,0.027662,0.039501
14593,31/07/2014,3571,AAPL,,,,,,,93.08990,99.02000,95.60000,10375564,5987867,,0.028731,-0.035223
14593,29/08/2014,3571,AAPL,22/07/2014,14/08/2014,,0.47000,0.00000,0.00000,94.48000,102.50000,102.50000,9380685,5987867,,0.072176,0.033697
14593,30/09/2014,3571,AAPL,,,,,,,97.87000,103.30000,100.75000,15283673,5866161,,-0.017073,-0.044988
14593,31/10/2014,3571,AAPL,,,,,,,96.26000,108.00000,108.00000,13609713,5864840,,0.071960,0.014199
14593,28/11/2014,3571,AAPL,20/10/2014,13/11/2014,,0.47000,0.00000,0.00000,108.60000,119.00000,118.93000,8213451,5864840,,0.101204,-0.002457
14593,31/12/2014,3571,AAPL,,,,,,,106.74500,115.93000,110.38000,10766123,5826419,,-0.071891,-0.000190
14593,30/01/2015,3571,AAPL,,,,,,,105.99000,118.90000,117.16000,13062738,5824748,,0.061424,-0.019073
14593,27/02/2015,3571,AAPL,27/01/2015,12/02/2015,,0.47000,0.00000,0.00000,118.63000,133.00000,128.46001,11373392,5824748,,0.096449,0.054123
14593,31/03/2015,3571,AAPL,,,,,,,122.24000,129.36000,124.43000,11389236,5824748,,-0.031372,-0.005112
14593,30/04/2015,3571,AAPL,,,,,,,124.25000,132.64999,125.15000,9962108,5762278,,0.005786,0.015127
14593,29/05/2015,3571,AAPL,27/04/2015,14/05/2015,,0.52000,0.00000,0.00000,125.01000,132.53999,130.28000,9552599,5762278,,0.040991,0.003962
14593,30/06/2015,3571,AAPL,,,,,,,124.53000,130.53500,125.42500,8789027,5705400,,-0.037266,-0.013473
14593,31/07/2015,3571,AAPL,,,,,,,120.07000,132.07001,121.30000,10600330,5702722,,-0.032888,-0.027144
14593,31/08/2015,3571,AAPL,21/07/2015,13/08/2015,,0.52000,0.00000,0.00000,103.12000,119.72000,112.76000,16079713,5702722,,-0.070404,-0.047295
14593,30/09/2015,3571,AAPL,,,,,,,107.72000,116.41000,110.30000,12091001,5702722,,-0.021816,-0.049922
14593,30/10/2015,3571,AAPL,,,,,,,109.50000,120.53000,119.50000,11147142,5575331,,0.083409,0.052873
14593,30/11/2015,3571,AAPL,27/10/2015,12/11/2015,,0.52000,0.00000,0.00000,112.34000,122.57000,118.30000,7517860,5575331,,-0.010042,0.007333
14593,31/12/2015,3571,AAPL,,,,,,,105.26000,119.03000,105.26000,9237703,5544487,,-0.110228,-0.035887
17830,31/01/2006,3724,UTX,,,,,,,54.47000,58.75000,58.37000,790953,1018653,,0.043999,0.076354
17830,28/02/2006,3724,UTX,06/02/2006,10/03/2006,,0.22000,0.00000,0.00000,56.71000,58.89000,58.50000,604566,1015427,,0.002227,0.004836
17830,31/03/2006,3724,UTX,,,,,,,57.40000,59.28000,57.97000,693220,1015002,,-0.009060,0.036978
17830,28/04/2006,3724,UTX,,,,,,,57.14000,64.53000,62.81000,794414,1010868,,0.083491,0.009791
17830,31/05/2006,3724,UTX,12/04/2006,10/06/2006,,0.26500,0.00000,0.00000,62.06000,66.15000,62.52000,852810,1010868,,-0.004617,-0.044331
17830,30/06/2006,3724,UTX,,,,,,,59.45000,63.42000,63.42000,835342,1010868,,0.014395,-0.008479
17830,31/07/2006,3724,UTX,,,,,,,57.96000,63.99000,62.19000,920267,1011430,,-0.019395,-0.022698
17830,31/08/2006,3724,UTX,14/06/2006,10/09/2006,,0.26500,0.00000,0.00000,60.15000,63.09000,62.71000,637601,1011430,,0.008361,0.025011
17830,29/09/2006,3724,UTX,,,,,,,62.30000,64.61000,63.35000,687839,1011430,,0.010206,0.009006
17830,31/10/2006,3724,UTX,,,,,,,63.90000,66.79000,65.72000,717905,1003651,,0.037411,0.046211
